word,normalized_word,rank,priority_score,original_rank,ngsl_rank,supplement_category,oxford_list,oxford_level,nawl_rank,tsl_rank,bsl_rank,sources,notes
school,school,146,27.659205,148,146,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
late,late,147,27.637965,149,147,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
high,high,148,27.616868,150,148,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
different,different,149,27.595911,151,149,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
off,off,150,27.575093,152,150,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
next,next,151,27.554411,153,151,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
end,end,152,27.533864,154,152,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
live,live,153,27.513451,155,153,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
why,why,154,27.493169,156,154,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
world,world,155,27.452992,158,156,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
week,week,156,27.433094,159,157,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
play,play,157,27.413320,160,158,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
must,must,158,27.374143,162,160,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
home,home,159,27.354735,163,161,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
never,never,160,27.335446,164,162,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
include,include,161,27.316275,165,163,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
course,course,162,27.297219,166,164,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
house,house,163,27.278278,167,165,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
while,while,164,27.273016,157,155,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
report,report,165,27.259450,168,166,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
group,group,166,27.240734,169,167,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
woman,woman,167,27.203633,171,169,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
might,might,168,27.193671,161,159,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
around,around,169,27.185245,172,170,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
book,book,170,27.166963,173,171,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
family,family,171,27.148787,174,172,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
let,let,172,27.112746,176,174,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
again,again,173,27.094880,177,175,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
kind,kind,174,27.077113,178,176,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
keep,keep,175,27.059447,179,177,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
hear,hear,176,27.041879,180,178,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
case,case,177,27.022129,170,168,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
every,every,178,27.007034,182,180,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
question,question,179,26.989755,183,181,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
during,during,180,26.972571,184,182,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
always,always,181,26.955479,185,183,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
big,big,182,26.938480,186,184,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
seem,seem,183,26.930715,175,173,,oxford3000,a2,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
small,small,184,26.904754,188,186,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
study,study,185,26.888026,189,187,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
follow,follow,186,26.871386,190,188,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
begin,begin,187,26.854833,191,189,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
important,important,188,26.838367,192,190,,oxford3000,a1,,,,ngsl_1.2_core;ngsl_sfi_31k;oxford3000,
